,Date,GS,^GSPC,moving_avg_20,moving_avg_50
93,2021-02-10,304.2799987792969,3909.8798828125,290.09800109863284,269.0411996459961
94,2021-02-11,302.32000732421875,3916.3798828125,290.06700134277344,270.4759997558594
95,2021-02-12,306.32000732421875,3934.830078125,289.989501953125,271.96079986572266
96,2021-02-16,311.9599914550781,3932.590087890625,290.53700103759763,273.4469998168945
97,2021-02-17,312.739990234375,3931.330078125,291.46399993896483,274.99239959716795
98,2021-02-18,309.8999938964844,3913.969970703125,292.4354995727539,276.39879943847654
99,2021-02-19,315.6199951171875,3906.7099609375,293.7479995727539,277.9421994018555
100,2021-02-22,316.8699951171875,3876.5,295.1219985961914,279.5027993774414
101,2021-02-23,319.2099914550781,3881.3701171875,296.93049774169924,281.0305990600586
102,2021-02-24,330.6400146484375,3925.429931640625,299.37449798583987,282.75539947509765
103,2021-02-25,327.760009765625,3829.340087890625,302.0959991455078,284.5107995605469
104,2021-02-26,319.4800109863281,3811.14990234375,304.3190002441406,286.1445999145508
105,2021-03-01,329.9200134277344,3901.820068359375,307.2565002441406,287.89440032958987
106,2021-03-02,330.94000244140625,3870.2900390625,310.0669998168945,289.63780029296873
107,2021-03-03,334.42999267578125,3819.719970703125,312.43999938964845,291.43780029296875
108,2021-03-04,329.2900085449219,3768.469970703125,314.4770004272461,293.1810003662109
109,2021-03-05,327.3699951171875,3841.93994140625,316.15800018310546,294.58880004882815
110,2021-03-08,334.19000244140625,3821.35009765625,318.19250030517577,296.27080017089844
111,2021-03-09,330.5899963378906,3875.43994140625,319.7145004272461,297.75359985351565
112,2021-03-10,342.0199890136719,3898.81005859375,321.7925003051758,299.4707995605469
113,2021-03-11,342.1000061035156,3939.340087890625,323.6835006713867,301.1209997558594
114,2021-03-12,348.80999755859375,3943.340087890625,326.0080001831055,302.93699951171874
115,2021-03-15,346.04998779296875,3968.93994140625,327.99449920654297,304.6689990234375
116,2021-03-16,341.7099914550781,3962.7099609375,329.481999206543,306.2289990234375
117,2021-03-17,344.95001220703125,3974.1201171875,331.0925003051758,307.82799926757815
118,2021-03-18,348.0,3915.4599609375,332.99750061035155,309.3693994140625
119,2021-03-19,344.20001220703125,3913.10009765625,334.42650146484374,310.54239990234373
120,2021-03-22,339.3299865722656,3940.590087890625,335.5495010375977,311.4959997558594
121,2021-03-23,331.7699890136719,3910.52001953125,336.17750091552733,312.3297998046875
122,2021-03-24,328.6499938964844,3889.139892578125,336.0779998779297,313.02619995117186
123,2021-03-25,330.54998779296875,3909.52001953125,336.2174987792969,313.5929998779297
124,2021-03-26,327.3900146484375,3974.5400390625,336.61299896240234,314.0820001220703
125,2021-03-29,325.7300109863281,3971.090087890625,336.403498840332,314.43920043945315
126,2021-03-30,332.010009765625,3958.550048828125,336.45699920654295,315.05920043945315
127,2021-03-31,327.0,3972.889892578125,336.0854995727539,315.7152001953125
128,2021-04-01,327.6400146484375,4019.8701171875,336.0029998779297,316.4586004638672
129,2021-04-05,323.5400085449219,4077.909912109375,335.8115005493164,317.1420007324219
130,2021-04-06,327.05999755859375,4073.93994140625,335.45500030517576,317.895400390625
131,2021-04-07,326.54998779296875,4079.949951171875,335.2529998779297,318.7655999755859
132,2021-04-08,331.1400146484375,4097.169921875,334.709001159668,319.75320007324217
133,2021-04-09,330.80999755859375,4128.7998046875,334.1445007324219,320.9028002929688
134,2021-04-12,331.8399963378906,4127.990234375,333.2960006713867,322.0392004394531
135,2021-04-13,327.67999267578125,4141.58984375,332.3775009155273,323.1694000244141
136,2021-04-14,335.3500061035156,4124.66015625,332.0595016479492,324.3817999267578
137,2021-04-15,338.54998779296875,4170.419921875,331.73950042724607,325.4133996582031
138,2021-04-16,342.30999755859375,4185.47021484375,331.45500030517576,326.4885998535156
139,2021-04-19,343.0899963378906,4163.259765625,331.3994995117188,327.47539978027345
140,2021-04-20,331.8800048828125,4134.93994140625,331.0270004272461,328.24299987792966
141,2021-04-21,335.2699890136719,4173.419921875,331.2020004272461,328.9453997802734
142,2021-04-22,330.8500061035156,4134.97998046875,331.31200103759767,329.5532000732422
143,2021-04-23,339.3500061035156,4180.169921875,331.752001953125,330.25460021972657
144,2021-04-26,343.5199890136719,4187.6201171875,332.5585006713867,331.07859985351564
145,2021-04-27,346.6300048828125,4186.72021484375,333.60350036621094,331.8847998046875
146,2021-04-28,348.1099853515625,4183.18017578125,334.4084991455078,332.6077996826172
147,2021-04-29,352.9700012207031,4211.47021484375,335.70699920654295,333.41239990234374
148,2021-04-30,348.45001220703125,4181.169921875,336.7474990844727,334.1834002685547
149,2021-05-03,350.1600036621094,4192.66015625,338.07849884033203,334.87420043945315
150,2021-05-04,349.8399963378906,4164.66015625,339.2174987792969,335.5336004638672
151,2021-05-05,357.6199951171875,4167.58984375,340.7709991455078,336.3018005371094
152,2021-05-06,365.9700012207031,4201.6201171875,342.5124984741211,337.0084002685547
153,2021-05-07,370.8900146484375,4232.60009765625,344.5164993286133,337.8710003662109
154,2021-05-10,368.67999267578125,4188.43017578125,346.35849914550784,338.855
155,2021-05-11,359.9200134277344,4152.10009765625,347.97050018310546,339.455
156,2021-05-12,354.3999938964844,4063.0400390625,348.9229995727539,339.92419982910155
157,2021-05-13,358.80999755859375,4112.5,349.93600006103514,340.4117999267578
158,2021-05-14,368.7699890136719,4173.85009765625,351.2589996337891,341.20139953613284
159,2021-05-17,369.25,4163.2900390625,352.5669998168945,342.03899963378905
160,2021-05-18,364.55999755859375,4127.830078125,354.2009994506836,342.64639953613283
161,2021-05-19,358.3800048828125,4115.68017578125,355.35650024414065,343.20219970703124
162,2021-05-20,359.7799987792969,4159.1201171875,356.80299987792966,343.5573999023438
163,2021-05-21,366.260009765625,4155.85986328125,358.1485000610352,344.04059997558596
164,2021-05-24,368.2900085449219,4197.0498046875,359.38700103759766,344.4302001953125
